rank,dataset,field,family,question,unique_values,score,top_values_json
39,260206_OC-BH,q36r1,matrix_attributes,,259,52.5795,"[[""belgard"", 21, 1, 0.047619047619047616, -0.1256711557081243], [""Pavestone"", 18, 1, 0.05555555555555555, -0.11773464777161635], [""Techo-Bloc"", 14, 1, 0.07142857142857142, -0.10186163189860048], [""Cambridge"", 12, 1, 0.08333333333333333, -0.08995686999383858], [""__MISSING__"", 1623, 269, 0.16574245224892176, -0.007547751078250148], [""None"", 12, 3, 0.25, 0.0767097966728281]]"
40,260401_-OC-CAN,qcoe1R1_RD_Reviewr3,other,,27,51.0527,"[[""0"", 301, 201, 0.6677740863787376, 0.2841940056250364], [""__MISSING__"", 121, 0, 0.0, -0.3835800807537012], [""7"", 9, 0, 0.0, -0.3835800807537012], [""13"", 16, 2, 0.125, -0.2585800807537012], [""100"", 5, 4, 0.8, 0.41641991924629884], [""16"", 18, 3, 0.16666666666666666, -0.21691341408703455]]"
41,260404_ADDO,qcoe1LangAssessNumSyl,other,,134,49.9573,"[[""2"", 17, 15, 0.8823529411764706, 0.6183411417664411], [""1"", 110, 53, 0.4818181818181818, 0.2178063824081523], [""5"", 39, 23, 0.5897435897435898, 0.32573179033356026], [""3"", 36, 19, 0.5277777777777778, 0.2637659783677483], [""7"", 30, 15, 0.5, 0.2359882005899705], [""33"", 16, 0, 0.0, -0.2640117994100295]]"
42,260300_ECHO,q16r1,brand_funnel_ad,,54,48.2591,"[[""55"", 40, 27, 0.675, 0.3218710089399745], [""45"", 43, 27, 0.627906976744186, 0.2747779856841605], [""0"", 178, 39, 0.21910112359550563, -0.13402786746451992], [""80"", 56, 9, 0.16071428571428573, -0.19241470534573982], [""50"", 279, 122, 0.43727598566308246, 0.08414699460305691], [""60"", 124, 59, 0.47580645161290325, 0.1226774605528777]]"
43,260300_ECHO,q16r2,brand_funnel_ad,,54,48.2591,"[[""45"", 40, 27, 0.675, 0.3218710089399745], [""55"", 43, 27, 0.627906976744186, 0.2747779856841605], [""100"", 178, 39, 0.21910112359550563, -0.13402786746451992], [""20"", 56, 9, 0.16071428571428573, -0.19241470534573982], [""50"", 279, 122, 0.43727598566308246, 0.08414699460305691], [""40"", 124, 59, 0.47580645161290325, 0.1226774605528777]]"
44,260300_ECHO,q18r13,brand_funnel_ad,,6,48.1537,"[[""1"", 738, 162, 0.21951219512195122, -0.13361679593807432], [""6"", 110, 75, 0.6818181818181818, 0.3286891907581562], [""5"", 198, 114, 0.5757575757575758, 0.22262858469755026], [""4"", 159, 93, 0.5849056603773585, 0.23177666931733293], [""2"", 293, 74, 0.2525597269624573, -0.10056926409756822], [""3"", 68, 35, 0.5147058823529411, 0.16157689129291558]]"
45,260306_TFG-Contractor-Index-Q2,q5r1,demographic_profile,,47,47.5307,"[[""100"", 212, 25, 0.1179245283018868, -0.24196804108038714], [""35"", 6, 6, 1.0, 0.6401074306177261], [""55"", 22, 15, 0.6818181818181818, 0.32192561243590784], [""90"", 64, 12, 0.1875, -0.17239256938227393], [""70"", 102, 50, 0.49019607843137253, 0.1303035090490986], [""60"", 96, 46, 0.4791666666666667, 0.11927409728439275]]"
46,260306_TFG-Contractor-Index-Q2,q5r2,demographic_profile,,47,47.5307,"[[""0"", 212, 25, 0.1179245283018868, -0.24196804108038714], [""65"", 6, 6, 1.0, 0.6401074306177261], [""45"", 22, 15, 0.6818181818181818, 0.32192561243590784], [""10"", 64, 12, 0.1875, -0.17239256938227393], [""30"", 102, 50, 0.49019607843137253, 0.1303035090490986], [""40"", 96, 46, 0.4791666666666667, 0.11927409728439275]]"
47,260300_ECHO,q19_2026r5,brand_funnel_ad,,36,46.8794,"[[""0"", 248, 147, 0.592741935483871, 0.23961294442384545], [""__MISSING__"", 906, 213, 0.23509933774834438, -0.11802965331168117], [""4"", 9, 9, 1.0, 0.6468710089399745], [""10"", 94, 51, 0.5425531914893617, 0.1894242004293361], [""6"", 13, 10, 0.7692307692307693, 0.41610177817074373], [""5"", 119, 58, 0.48739495798319327, 0.13426596692316772]]"
48,260306_TFG-Contractor-Index-Q2,q13r1,ownership_use_product,,2,44.345,"[[""__MISSING__"", 190, 152, 0.8, 0.4401074306177261], [""0"", 927, 250, 0.2696871628910464, -0.09020540649122755]]"
