rank,field,family,question,unique_values,score,max_abs_lift,top_values_json
47,q18r4,brand_funnel,,6,26.4772,0.2046,"[[""5"", 208, 116, 0.5576923076923077, 0.20456331663228217], [""1"", 511, 127, 0.24853228962818003, -0.10459670143184552], [""4"", 166, 87, 0.5240963855421686, 0.1709673944821431], [""2"", 391, 96, 0.24552429667519182, -0.10760469438483372], [""6"", 209, 98, 0.4688995215311005, 0.11577053047107494]]"
48,q23_2026_Lr13r3,brand_funnel,,9,26.473,0.3274,"[[""9"", 72, 49, 0.6805555555555556, 0.32742656449553004], [""8"", 75, 48, 0.64, 0.28687100893997447], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""10"", 79, 47, 0.5949367088607594, 0.2418077178007339], [""7"", 41, 23, 0.5609756097560976, 0.20784661869607207]]"
49,q4,demographic_profile,What is your company’s annual revenue?,11,26.4572,0.4881,"[[""9"", 63, 53, 0.8412698412698413, 0.48814085020981574], [""2"", 27, 19, 0.7037037037037037, 0.3505747126436782], [""__MISSING__"", 1316, 402, 0.30547112462006076, -0.04765786643996478], [""8"", 17, 12, 0.7058823529411765, 0.352753361881151], [""6"", 35, 19, 0.5428571428571428, 0.18972815179711727]]"
50,q43,demographic_profile,Approximately how many years has your company been in business?,6,26.2761,0.4088,"[[""3"", 90, 62, 0.6888888888888889, 0.33575989782886334], [""2"", 42, 32, 0.7619047619047619, 0.4087757708447363], [""4"", 47, 31, 0.6595744680851063, 0.3064454770250808], [""__MISSING__"", 1316, 402, 0.30547112462006076, -0.04765786643996478], [""1"", 11, 8, 0.7272727272727273, 0.37414373621270175]]"
51,q19_2026r6,brand_funnel,,36,26.2715,0.4246,"[[""__MISSING__"", 743, 202, 0.2718707940780619, -0.08125819698196363], [""0"", 280, 133, 0.475, 0.12187100893997443], [""5"", 104, 53, 0.5096153846153846, 0.15648639355535904], [""2"", 9, 7, 0.7777777777777778, 0.42464878671775225], [""30"", 22, 2, 0.09090909090909091, -0.26221990015093466]]"
52,q9,demographic_profile,Which of the following best describes your annual household income before taxes?,10,25.6031,0.2509,"[[""__MISSING__"", 250, 151, 0.604, 0.25087100893997444], [""4"", 246, 60, 0.24390243902439024, -0.1092265520356353], [""5"", 203, 49, 0.2413793103448276, -0.11174968071519795], [""8"", 181, 81, 0.44751381215469616, 0.09438482109467061], [""3"", 74, 17, 0.22972972972972974, -0.1233992613302958]]"
53,POSSIBLEBRANDSr13,brand_funnel,,3,25.356,0.2654,"[[""1"", 291, 180, 0.6185567010309279, 0.2654277099709023], [""0"", 1247, 367, 0.2943063352044908, -0.058822655855534756], [""__MISSING__"", 28, 6, 0.21428571428571427, -0.13884327677431127]]"
54,q19r13,other,,3,25.2871,0.2772,"[[""0"", 211, 133, 0.6303317535545023, 0.2772027624944768], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""1"", 80, 47, 0.5875, 0.23437100893997448]]"
55,q3r3,demographic_profile,,14,25.0329,0.3653,"[[""0"", 103, 74, 0.7184466019417476, 0.36531761088172204], [""20"", 38, 25, 0.6578947368421053, 0.30476574578207977], [""__MISSING__"", 1316, 402, 0.30547112462006076, -0.04765786643996478], [""10"", 54, 29, 0.5370370370370371, 0.18390804597701155], [""15"", 24, 11, 0.4583333333333333, 0.10520434227330777]]"
56,q19_2026r8,brand_funnel,,42,24.9136,0.3741,"[[""0"", 326, 161, 0.4938650306748466, 0.14073603961482106], [""__MISSING__"", 534, 156, 0.29213483146067415, -0.060994159599351394], [""40"", 18, 1, 0.05555555555555555, -0.29757343550447], [""8"", 11, 8, 0.7272727272727273, 0.37414373621270175], [""20"", 107, 25, 0.2336448598130841, -0.11948413124694143]]"
